LE_x,LE_y,LE_z,TE_x,TE_y,TE_z,d_tube,camber,is_strut
0.52218,0.6319810958579882,0.921215,0.86682,4.152601,0.932607,0.3225132246121334,0.0405837,False
0.263184,0.632153345167653,0.971623,0.874727,4.141856,0.979216,0.1837401335882308,0.043495,False
0.028112,0.630950417357002,1.049881,0.887481,4.124523,1.054402,0.131075032683328,0.0464063,False
-0.183243,0.6287179656804733,1.154511,0.904737,4.101072,1.156125,0.1036781577453383,0.0493176,False
-0.368472,0.6256031842209073,1.28343,0.926149,4.071974,1.282342,0.0872295732744705,0.0522289,False
-0.522929,0.6215356335305721,1.43433,0.951369,4.0377,1.431014,0.0766805595131155,0.0551402,False
-0.639766,0.6165282366863905,1.604842,0.980052,3.998721,1.600098,0.0698647554531404,0.0580515,False
-0.709238,0.6106375159763314,1.791356,1.011852,3.955506,1.787553,0.0880585272944216,0.0580515,True
-0.79088,0.5856302497041419,2.209568,1.189372,3.789238,2.199439,0.0818347949026424,0.0656764,False
-0.864219,0.5388518591715976,2.540205,1.256822,3.485499,2.522089,0.0805359612271219,0.0720449,False
-0.929298,0.4824163360946746,2.796493,1.310901,3.116753,2.773988,0.0795641444833332,0.0774354,True
-0.986158,0.4307260698224852,3.092998,1.354755,2.780285,3.065722,0.0788201065048211,0.0819918,False
-1.034831,0.36840888994082843,3.288677,1.390237,2.380855,3.254511,0.0782455219828932,0.0857993,False
-1.075348,0.301726426035503,3.398648,1.41853,1.946587,3.361473,0.0778048283060423,0.0889127,True
-1.107733,0.23927396686390534,3.587398,1.440421,1.540958,3.547442,0.0774738261221235,0.0913686,False
-1.132004,0.17119647573964497,3.671702,1.456442,1.107796,3.627957,0.0772367956750012,0.0931918,False
-1.148177,0.10243121301775147,3.658834,1.466944,0.660721,3.613797,0.0770843584417728,0.0943989,True
-1.156262,0.034856932544378695,3.741837,1.472144,0.220752,3.696209,0.0769999920939645,0.095,False
-1.156262,-0.034856932544378695,3.741837,1.472144,-0.220752,3.696209,0.0769999920939645,0.095,False
-1.148177,-0.10243121301775147,3.658834,1.466944,-0.660721,3.613797,0.0770843584417728,0.0943989,True
-1.132004,-0.17119647573964497,3.671702,1.456442,-1.107796,3.627957,0.0772367956750012,0.0931918,False
-1.107733,-0.23927396686390534,3.587398,1.440421,-1.540958,3.547442,0.0774738261221235,0.0913686,False
-1.075348,-0.301726426035503,3.398648,1.41853,-1.946587,3.361473,0.0778048283060423,0.0889127,True
-1.034831,-0.36840888994082843,3.288677,1.390237,-2.380855,3.254511,0.0782455219828932,0.0857993,False
-0.986158,-0.4307260698224852,3.092998,1.354755,-2.780285,3.065722,0.0788201065048211,0.0819918,False
-0.929298,-0.4824163360946746,2.796493,1.310901,-3.116753,2.773988,0.0795641444833332,0.0774354,True
-0.864219,-0.5388518591715976,2.540205,1.256822,-3.485499,2.522089,0.0805359612271219,0.0720449,False
-0.79088,-0.5856302497041419,2.209568,1.189372,-3.789238,2.199439,0.0818347949026424,0.0656764,False
-0.709238,-0.6106375159763314,1.791356,1.011852,-3.955506,1.787553,0.0880585272944216,0.0580515,True
-0.639766,-0.6165282366863905,1.604842,0.980052,-3.998721,1.600098,0.0698647554531404,0.0580515,False
-0.522929,-0.6215356335305721,1.43433,0.951369,-4.0377,1.431014,0.0766805595131155,0.0551402,False
-0.368472,-0.6256031842209073,1.28343,0.926149,-4.071974,1.282342,0.0872295732744705,0.0522289,False
-0.183243,-0.6287179656804733,1.154511,0.904737,-4.101072,1.156125,0.1036781577453383,0.0493176,False
0.028112,-0.630950417357002,1.049881,0.887481,-4.124523,1.054402,0.131075032683328,0.0464063,False
0.263184,-0.632153345167653,0.971623,0.874727,-4.141856,0.979216,0.1837401335882308,0.043495,False
0.52218,-0.6319810958579882,0.921215,0.86682,-4.152601,0.932607,0.3225132246121334,0.0405837,False
