prof_num,LE_x,LE_y,LE_z,TE_x,TE_y,TE_z
19,104.94809354160103,-4110.4250102872375,1020.6948819027291,932.235274064209,-4136.759541813347,1026.7698564834052
18,-125.94856150986303,-4095.3124609486176,1131.752674216157,948.0319715306027,-4119.17679391508,1137.5068826415086
17,-415.20408817797403,-4058.3922187975495,1352.7398161728056,980.6642670037444,-4066.1917809302713,1354.784652851428
16,-583.9406178913704,-4017.4041439632892,1573.136130673558,1013.3061573517873,-4012.696508391866,1571.8020624211283
15,-673.1255454312801,-3971.0648600916857,1792.296994306359,1045.940751980705,-3959.304771307195,1788.7115536981019
14,-763.0010692513897,-3808.6614545656525,2211.6503076074623,1114.8900094481448,-3809.9544198423287,2212.462687618386
13,-803.4346573868656,-3671.721332477886,2390.208096108445,1159.0484514963155,-3676.560321852442,2394.355401152323
12,-842.6236438512831,-3503.776553166227,2543.1468790470167,1206.9146554234733,-3508.109886540138,2548.1395107427697
11,-910.7041725649544,-3136.094612354681,2798.7444789127094,1328.2999037052468,-3134.3435230977734,2796.504069372346
10,-973.4084029764643,-2799.119438334862,3094.2397365885954,1341.651389866222,-2797.9060165852593,3092.401274552168
9,-1001.2604181004637,-2606.06743950073,3210.9156756433376,1347.0535121521395,-2607.652208222479,3214.0730423076006
8,-1025.5704673876633,-2393.395782004035,3289.2227589446675,1370.4766336634273,-2394.6575320851994,3292.717092764685
7,-1066.808167099677,-1959.751182953357,3398.710571788576,1428.6937460004633,-1958.7427796536304,3395.858306351975
6,-1102.721455861017,-1553.9231291222366,3587.899390284646,1421.8476587327254,-1552.9087742581646,3584.7357425519176
5,-1117.4483964012775,-1337.2547196154842,3653.1307248857056,1420.6278262933395,-1337.221665561774,3652.962868560538
4,-1129.0037004055944,-1111.273134975715,3672.140965756021,1435.0857915331694,-1111.1744842343721,3670.881486234418
3,-1144.8828836323987,-664.2030404518473,3658.203792543517,1473.3964618305042,-663.8228115665804,3653.361447444984
2,-1154.4229650457855,-224.77286325409474,3739.2641503312243,1448.4005139953103,-224.75704597387437,3739.0964622164634
1,-1155.791191486098,-1.7071843617459462e-08,3754.9161879983585,1443.146003226444,8.28776104036884e-07,3754.972573823276
